"hod";"cod";"N";"disease";"total.cod";"total.hod";"total";"prop.cod";"prop.total"
3;"A01";4;"Typhoid and paratyphoid fevers";52;19724;513095;0,0769230769230769;0,0384412243346749
3;"A02";1;"Other salmonella infections";62;19724;513095;0,0161290322580645;0,0384412243346749
3;"A04";4;"Other bacterial intestinal infections";139;19724;513095;0,0287769784172662;0,0384412243346749
3;"A05";1;"Other bacterial foodborne intoxications, not elsewhere classified";21;19724;513095;0,0476190476190476;0,0384412243346749
3;"A06";5;"Amebiasis";84;19724;513095;0,0595238095238095;0,0384412243346749
3;"A09";123;"Diarrhea and gastroenteritis of infectious origin";3056;19724;513095;0,0402486910994764;0,0384412243346749
3;"A16";73;"Respiratory tuberculosis, not confirmed bacteriologically or histologically";1671;19724;513095;0,0436864153201676;0,0384412243346749
3;"A17";3;"Tuberculosis of nervous system";95;19724;513095;0,0315789473684211;0,0384412243346749
3;"A18";5;"Tuberculosis of other organs";94;19724;513095;0,0531914893617021;0,0384412243346749
3;"A19";8;"Miliary tuberculosis";151;19724;513095;0,0529801324503311;0,0384412243346749
3;"A35";1;"Other tetanus";17;19724;513095;0,0588235294117647;0,0384412243346749
3;"A37";2;"Whooping cough";10;19724;513095;0,2;0,0384412243346749
3;"A41";155;"Other septicemia";4189;19724;513095;0,0370016710432084;0,0384412243346749
3;"A49";2;"Bacterial infection of unspecified site";33;19724;513095;0,0606060606060606;0,0384412243346749
3;"A50";1;"Congenital syphilis";19;19724;513095;0,0526315789473684;0,0384412243346749
3;"A86";9;"Unspecified viral encephalitis";198;19724;513095;0,0454545454545455;0,0384412243346749
3;"A87";2;"Viral meningitis";31;19724;513095;0,0645161290322581;0,0384412243346749
3;"A91";2;"Dengue hemorrhagic fever";34;19724;513095;0,0588235294117647;0,0384412243346749
3;"B00";1;"Herpesviral [herpes simplex] infections";24;19724;513095;0,0416666666666667;0,0384412243346749
3;"B01";10;"Varicella [chickenpox]";130;19724;513095;0,0769230769230769;0,0384412243346749
3;"B02";1;"Zoster [herpes zoster]";45;19724;513095;0,0222222222222222;0,0384412243346749
3;"B15";2;"Acute hepatitis A";48;19724;513095;0,0416666666666667;0,0384412243346749
3;"B16";5;"Acute hepatitis B";105;19724;513095;0,0476190476190476;0,0384412243346749
